Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	Creation Date	
NA	AJ457957	No	6	1439	H3N2	2000	IRD:Human	Denmark	-N/A-	-N/A-	(A/Denmark/41/2000(H3N2))	04/25/2012	
NA	AJ457932	No	6	1465	H3N2	1998	IRD:Human	Denmark	-N/A-	-N/A-	(A/Denmark/511/98(H3N2))	04/16/2012	
NA	AJ457944	No	6	1428	H1N2	2001	IRD:Human	Egypt	-N/A-	-N/A-	(A/Egypt/84/2001(H1N2))	04/25/2012	
NA	AJ457943	No	6	1449	H1N2	2002	IRD:Human	Egypt	-N/A-	-N/A-	(A/Egypt/96/2002(H1N2))	04/16/2012	
NA	AJ457965	No	6	1465	H3N2	1999	IRD:Human	Finland	-N/A-	-N/A-	(A/Finland/620/99(H3N2))	04/17/2012	
NA	AJ457933	No	6	1441	H3N2	2000	IRD:Human	Hong Kong	-N/A-	-N/A-	(A/Hong Kong/1789/2000(H3N2))	04/17/2012	
NA	AJ457934	No	6	1465	H3N2	2000	IRD:Human	Hong Kong	-N/A-	-N/A-	(A/Hong Kong/2/2000(H3N2))	04/16/2012	
NA	AJ457931	No	6	1465	H3N2	1999	IRD:Human	Hong Kong	-N/A-	-N/A-	(A/Hong Kong/221/99(H3N2))	04/17/2012	
NA	AJ457936	No	6	1465	H3N2	1999	IRD:Human	Hong Kong	-N/A-	-N/A-	(A/Hong Kong/6/99(H3N2))	04/17/2012	
NA	AJ457964	No	6	1465	H3N2	1999	IRD:Human	Ireland	-N/A-	-N/A-	(A/Ireland/10586/99(H3N2))	04/16/2012	
NA	AJ457946	Yes	6	1465	H3N2	1994	IRD:Human	South Africa	-N/A-	-N/A-	(A/Johannesburg/33/94(H3N2))	04/17/2012	
NA	AJ457956	No	6	1443	H3N2	2000	IRD:Human	France	-N/A-	-N/A-	(A/Lyon/1242/2000(H3N2))	04/17/2012	
NA	AJ457945	No	6	1465	H3N2	1995	IRD:Human	China	-N/A-	-N/A-	(A/Nanchang/933/95(H3N2))	04/25/2012	
NA	AJ457962	No	6	1465	H3N2	2000	IRD:Human	Italy	-N/A-	-N/A-	(A/Perugia/7/2000(H3N2))	04/17/2012	
NA	AJ457942	Yes	6	1465	H3N2	1996	IRD:Human	South Africa	-N/A-	-N/A-	(A/South Africa/1147/96(H3N2))	04/16/2012	
NA	AJ457960	No	6	1439	H3N2	2001	IRD:Human	Spain	-N/A-	-N/A-	(A/Valladolid/4/2001(H3N2))	04/17/2012	
NA	CY021711	Yes	6	1429	H1N1	1945	IRD:Human	USA	Texas	-N/A-	A/AA/Huston/1945(H1N1)	07/13/2007	
NA	CY020287	Yes	6	1410	H1N1	1943	IRD:Human	USA	Unknown	-N/A-	A/AA/Marton/1943(H1N1)	05/15/2007	
NA	CY066977	Yes	6	1420	H1N1	11/24/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS242/2009(H1N1)	11/18/2010	
NA	CY067049	Yes	6	1420	H1N1	11/22/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS253/2009(H1N1)	11/18/2010	
NA	CY067057	Yes	6	1420	H1N1	11/28/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS254/2009(H1N1)	11/18/2010	
NA	CY129912	Yes	6	1434	H1N1	01/25/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS609/2011	01/14/2013	
NA	GU367316	No	6	1433	H1N1	2009	IRD:Human	Russia	-N/A-	-N/A-	A/Abakan/02/2009(H1N1)	01/02/2010	
NA	AB124653	No	6	1410	H2N2	1957	IRD:Human	Japan	-N/A-	-N/A-	A/Adachi/2/1957(H2N2)	07/15/2008	
NA	CY071820*	No	6	1410	H1N1	12/01/2009	IRD:Human	Ethiopia	-N/A-	-N/A-	A/Addis Ababa/WR2848N/2009(H1N1)	09/02/2010	
NA	AB124658	Yes	6	1410	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968(H3N2)	07/15/2008	
