Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	Creation Date	
M2	CY021710	Yes	7	1000	H1N1	1945	IRD:Human	USA	Texas	-N/A-	A/AA/Huston/1945(H1N1)	07/13/2007	
M2	CY063607	Yes	7	987	H1N1	12/02/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aalborg/INS133/2009(H1N1)	05/20/2010	
M2	CY071829*	No	7	982	H1N1	12/01/2009	IRD:Human	Ethiopia	-N/A-	-N/A-	A/Addis Ababa/WR2848T/2009(H1N1)	09/02/2010	
M2	M63515	Yes	7	1027	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	04/25/2012	
M2	U65574	No	7	982	H3N2	1995	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/95	03/28/2012	
M2	CY113958	Yes	7	999	H3N2	1993	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/4/1993	04/16/2012	
M2	KC781902	Yes	7	982	H1N1	01/04/2010	IRD:Human	USA	Alabama	09-10	A/Alabama/01/2010	04/08/2013	
M2	CY025382	Yes	7	985	H1N1	02/28/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0455/2007(H1N1)	10/16/2007	
M2	CY027412	Yes	7	982	H1N1	03/06/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0536/2007(H1N1)	01/02/2008	
M2	CY025860	Yes	7	995	H3N2	03/07/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0545/2007(H3N2)	10/16/2007	
M2	CY100847*	Yes	7	983	H1N1	04/01/2009	IRD:Human	USA	Alabama	08-09	A/Alabama/WRAIR1235P/2009(H1N1)	12/14/2011	
M2	GQ475762	No	7	982	H1N1	01/16/2008	IRD:Human	USA	Alaska	07-08	A/Alaska/02/2008(H1N1)	08/21/2009	
M2	EU716600	No	7	984	H1N1	12/04/2007	IRD:Human	USA	Alaska	07-08	A/Alaska/13/2007	03/28/2012	
M2	CY019956	Yes	7	986	H1N1	1935	IRD:Human	USA	Alaska	-N/A-	A/Alaska/1935(H1N1)	05/15/2007	
M2	CY134710	No	7	982	H3N2	11/05/2012	IRD:Human	USA	Alaska	12-13	A/Alaska/3149/2012	02/24/2013	
M2	KC780963	No	7	982	H1N1	10/01/2009	IRD:Human	USA	Alaska	09-10	A/Alaska/40/2009	04/08/2013	
M2	CY022939	Yes	7	988	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/1/1970(H3N2)	09/12/2007	
M2	CY021942	Yes	7	995	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/1/1976(H3N2)	07/13/2007	
M2	CY021110	Yes	7	984	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/17/1968(H3N2)	05/15/2007	
M2	CY021702	No	7	975	H1N1	1950	IRD:Human	USA	New York	-N/A-	A/Albany/4836/1950(H1N1)	07/13/2007	
M2	CY020518	Yes	7	991	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/9/1967(H2N2)	05/15/2007	
M2	HM172159*	Yes	7	982	H5N1	2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2005(H5N1)	08/20/2010	
M2	CY125903	Yes	7	1002	H2N2	1960	IRD:Human	USA	Michigan	-N/A-	A/Ann Arbor/6/1960(H2N2)	10/31/2012	
M2	AY210063	No	7	982	H2N2	1967	IRD:Human	USA	Michigan	-N/A-	A/AnnArbor/7/67(H2N2)	07/27/2006	
M2	KC780124	No	7	982	H1N1	04/09/2010	IRD:Human	USA	Arizona	09-10	A/Arizona/07/2010	04/08/2013	
M2	JX978757	No	7	978	H3N2	03/27/2012	IRD:Human	Russia	-N/A-	11-12	A/Astrakhan/RII06/2012	11/19/2012	
M2	CY063639	Yes	7	987	H1N1	12/29/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS153/2009(H1N1)	05/20/2010	
M2	CY062860	Yes	7	987	H1N1	12/18/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS159/2009(H1N1)	05/14/2010	
M2	CY062892	Yes	7	987	H1N1	12/20/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS163/2009(H1N1)	05/14/2010	
M2	CY031363	No	7	985	H1N1	06/27/2007	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/16/2007(H1N1)	07/15/2008	
M2	FJ973554	No	7	982	H1N1	04/24/2009	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/2/2009(H1N1)	05/06/2009	
M2	CY025027	Yes	7	983	H1N1	09/13/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/584/2000(H1N1)	01/17/2008	
M2	CY025051	Yes	7	997	H3N2	07/29/2002	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/610/2002(H3N2)	01/17/2008	
M2	CY031389	No	7	1007	H1N1	06/18/2007	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/8/2007(H1N1)	07/15/2008	
M2	CY055551	Yes	7	987	H1N1	07/20/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/10/2009(H1N1)	03/04/2010	
M2	CY055789	Yes	7	987	H1N1	07/29/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/53/2009(H1N1)	03/05/2010	
M2	EU249175	No	7	982	H1N2	2003	IRD:Human	Germany	-N/A-	-N/A-	A/Baden-Wuerrtemberg/20/2003(H1N2)	09/03/2008	
M2	CY129791	Yes	7	1003	H1N1	09/30/2010	IRD:Human	Thailand	-N/A-	-N/A-	A/Bangkok/INS584/2010	01/14/2013	
M2	FJ573471	No	7	954	H5N1	02/2008	IRD:Human	Bangladesh	-N/A-	-N/A-	A/Bangladesh/207095/2008(H5N1)	09/16/2009	
M2	CY088772	No	7	982	H5N1	03/09/2011	IRD:Human	Bangladesh	-N/A-	-N/A-	A/Bangladesh/3233/2011	04/04/2011	
M2	CY083746	No	7	999	H1N1	12/11/2009	IRD:Human	Spain	-N/A-	09-10	A/Barcelona/INS189/2009(H1N1)	03/03/2011	
M2	CY007316	No	7	986	H3N2	09/13/2004	IRD:Human	New Zealand	-N/A-	-N/A-	A/Bay of Plenty/383/2004(H3N2)	07/27/2006	
M2	GQ166218	No	7	999	H1N1	2009	IRD:Human	Germany	-N/A-	-N/A-	A/Bayern/63/2009(H1N1)	05/26/2009	
M2	CY045506	Yes	7	1004	H1N1	2009	IRD:Human	Germany	-N/A-	-N/A-	A/Bayern/66/2009(H1N1)	09/16/2009	
M2	EU188798	No	7	989	H1N1	1995	IRD:Human	Germany	-N/A-	-N/A-	A/Bayern/7/95(H1N1)	01/02/2008	
M2	CY009621	No	7	997	H1N1	1982	IRD:Human	USA	Texas	-N/A-	A/Baylor/11735/82(H1N1)	07/27/2006	
M2	EF587280	Yes	7	1027	H5N1	2003	IRD:Human	China	-N/A-	-N/A-	A/Beijing/01/2003(H5N1)	07/13/2007	
M2	CY112405	Yes	7	999	H3N2	1989	IRD:Human	China	-N/A-	-N/A-	A/Beijing/352/1989	04/16/2012	
M2	CY006045	Yes	7	1027	H3N2	1975	IRD:Human	China	-N/A-	-N/A-	A/Beijing/39/75(H3N2)	07/27/2006	
M2	CY053334	No	7	977	H1N1	11/2009	IRD:Human	China	-N/A-	-N/A-	A/Beijing/717/2009(H1N1)	12/16/2009	
M2	CY053358	No	7	979	H1N1	11/2009	IRD:Human	China	-N/A-	-N/A-	A/Beijing/739/2009(H1N1)	12/16/2009	
M2	CY053360	No	7	978	H1N1	11/2009	IRD:Human	China	-N/A-	-N/A-	A/Beijing/740/2009(H1N1)	12/16/2009	
M2	CY053362	No	7	972	H1N1	11/2009	IRD:Human	China	-N/A-	-N/A-	A/Beijing/741/2009(H1N1)	12/16/2009	
M2	CY009277	No	7	990	H1N1	1942	IRD:Human	USA	Unknown	-N/A-	A/Bel/1942(H1N1)	01/02/2008	
M2	AY210065	Yes	7	982	H2N2	1968	IRD:Human	USA	California	-N/A-	A/Berkeley/1/68(H2N2)	07/27/2006	
M2	EF674916	No	7	942	H3N2	1999	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/185/99(H3N2)	06/18/2008	
M2	EF674913	No	7	864	H3N2	1999	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/199/99(H3N2)	06/18/2008	
M2	EU249208	No	7	982	H3N2	2004	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/43/2004(H3N2)	09/03/2008	
M2	EU249210	No	7	982	H3N2	2005	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/5/2005(H3N2)	09/03/2008	
M2	EU249149	No	7	982	H1N1	2005	IRD:Human	Germany	-N/A-	-N/A-	A/Berlin/60/2005(H1N1)	09/03/2008	
M2	CY096812	Yes	7	1000	H1N1	1935	IRD:Human	-N/A-	-N/A-	-N/A-	A/BH/1935(H1N1)	09/16/2011	
M2	CY077795	Yes	7	1027	H3N2	1976	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/1761/1976	12/22/2010	
M2	CY077843	Yes	7	1017	H3N2	1970	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/2668/1970	12/22/2010	
M2	CY113206	Yes	7	1000	H3N2	1976	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/5029/1976	04/06/2012	
M2	CY112330	Yes	7	1001	H3N2	1974	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/5146/1974	04/17/2012	
M2	CY113190	Yes	7	999	H3N2	1976	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/628/1976	04/06/2012	
M2	CY113142	Yes	7	999	H3N2	1974	IRD:Human	Netherlands	-N/A-	-N/A-	A/Bilthoven/9459/1974	04/06/2012	
M2	GU592898	Yes	7	1002	H1N1	11/28/2009	IRD:Human	Kyrgyzstan	-N/A-	-N/A-	A/Bishkek/03/2009(H1N1)	02/08/2010	
M2	CY064469	Yes	7	987	H1N1	06/15/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/103/2009(H1N1)	06/18/2010	
M2	CY064693	Yes	7	987	H1N1	07/08/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/143/2009(H1N1)	06/18/2010	
M2	CY044541	Yes	7	982	H3N2	02/06/2008	IRD:Human	USA	Massachusetts	07-08	A/Boston/29/2008(H3N2)	08/26/2009	
M2	CY044661	Yes	7	982	H1N1	02/20/2008	IRD:Human	USA	Massachusetts	07-08	A/Boston/49/2008(H1N1)	08/26/2009	
M2	CY089394*	No	7	1002	H3N2	01/30/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/5/2009(H3N2)	04/26/2011	
M2	CY075653	No	7	987	H1N1	11/03/2009	IRD:Human	USA	Massachusetts	09-10	A/Boston/617/2009(H1N1)	10/15/2010	
M2	CY080938	Yes	7	1002	H1N1	03/24/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/72/2009(H1N1)	02/01/2011	
M2	CY089140	Yes	7	999	H1N1	01/22/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/77/2009	04/26/2011	
M2	CY044805	Yes	7	986	H3N2	03/12/2008	IRD:Human	USA	Massachusetts	07-08	A/Boston/79/2008	09/28/2012	
M2	CY080970	Yes	7	1016	H1N1	02/12/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/85/2009(H1N1)	02/02/2011	
M2	CY064461	Yes	7	987	H1N1	06/13/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/96/2009(H1N1)	06/18/2010	
M2	CY089766	Yes	7	1003	H3N2	05/11/2009	IRD:Human	USA	Massachusetts	08-09	A/Boston/97/2009	05/12/2011	
M2	CY111183	Yes	7	999	H3N2	01/13/2011	IRD:Human	USA	Massachusetts	10-11	A/Boston/DOA09/2011(H3N2)	03/29/2012	
M2	CY111215	Yes	7	1000	H3N2	01/19/2011	IRD:Human	USA	Massachusetts	10-11	A/Boston/DOA13/2011(H3N2)	03/28/2012	
M2	CY111199	Yes	7	999	H3N2	01/18/2011	IRD:Human	USA	Massachusetts	10-11	A/Boston/DOA15/2011(H3N2)	03/29/2012	
M2	CY111547	Yes	7	999	H3N2	02/08/2011	IRD:Human	USA	Massachusetts	10-11	A/Boston/DOA33/2011(H3N2)	03/28/2012	
M2	CY134586	Yes	7	987	H1N1	02/21/2011	IRD:Human	USA	Massachusetts	10-11	A/Boston/DOA53/2011	02/24/2013	
M2	CY111399	Yes	7	987	H1N1	03/08/2011	IRD:Human	USA	Massachusetts	10-11	A/Boston/DOA73/2011(H1N1)	04/12/2012	
M2	AJ458308	No	7	1028	H3N2	1997	IRD:Human	Slovakia	-N/A-	-N/A-	A/Bratislava/6/97(H3N2)	04/25/2012	
M2	AY130766	No	7	982	H1N1	1918	IRD:Human	USA	Alaska	-N/A-	A/Brevig Mission/1/1918(H1N1)	07/27/2006	
M2	CY121793	Yes	7	1003	H3N2	2010	IRD:Human	Australia	-N/A-	-N/A-	A/Brisbane/11/2010	07/09/2012	
M2	GQ160609	No	7	941	H1N1	05/07/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Brisbane/17/2009(H1N1)	05/26/2009	
M2	EU124181	No	7	1008	H1N1	11/26/2006	IRD:Human	Australia	-N/A-	-N/A-	A/Brisbane/297/2006(H1N1)	06/18/2008	
M2	EU124182	No	7	989	H3N2	01/18/2007	IRD:Human	Australia	-N/A-	-N/A-	A/Brisbane/4/2007(H3N2)	06/18/2008	
M2	CY031391	Yes	7	1006	H1N1	07/01/2007	IRD:Human	Australia	-N/A-	-N/A-	A/Brisbane/59/2007(H1N1)	07/15/2008	
M2	CY031832	No	7	987	H3N2	08/11/2007	IRD:Human	Australia	-N/A-	-N/A-	A/Brisbane/602/2007(H3N2)	06/18/2008	
M2	CY065758	No	7	975	H1N1	12/2007	IRD:Human	Canada	-N/A-	07-08	A/British Columbia/EFA1201/2007(H1N1)	07/07/2010	
M2	CY093863	Yes	7	1002	H4N8	10/25/2008	IRD:Human	USA	California	08-09	A/bufflehead/California/8522/2008	07/27/2011	
M2	EU097885	No	7	971	H3N2	2004	IRD:Human	USA	California	-N/A-	A/California/07/2004(H3N2)	06/18/2008	
M2	CY021718	Yes	7	1000	H1N1	1978	IRD:Human	USA	California	-N/A-	A/California/10/1978(H1N1)	07/13/2007	
M2	KC535297	No	7	984	H3N2	07/23/2010	IRD:Human	USA	California	-N/A-	A/California/16/2010	03/18/2013	
M2	EU716497	No	7	984	H3N2	12/10/2007	IRD:Human	USA	California	07-08	A/California/33/2007	03/30/2012	
M2	KC780708	Yes	7	982	H1N1	11/24/2009	IRD:Human	USA	California	09-10	A/California/41/2009	04/08/2013	
M2	CY031796	Yes	7	998	H3N2	2004	IRD:Human	USA	California	-N/A-	A/California/7/2004(H3N2)	06/18/2008	
M2	CY091054	Yes	7	999	H3N2	02/21/2006	IRD:Human	USA	California	05-06	A/California/NHRC0001/2006(H3N2)	05/31/2011	
M2	CY092881	Yes	7	987	H1N1	01/28/2011	IRD:Human	USA	California	10-11	A/California/NHRC0001/2011	07/11/2011	
M2	CY091526	Yes	7	999	H3N2	12/02/2005	IRD:Human	USA	California	05-06	A/California/NHRC0006/2005(H3N2)	05/31/2011	
M2	CY025374	Yes	7	998	H1N1	02/26/2007	IRD:Human	USA	California	06-07	A/California/UR06-0435/2007(H1N1)	10/16/2007	
M2	CY041451	Yes	7	985	H1N1	02/26/2007	IRD:Human	USA	California	06-07	A/California/UR06-0439/2007(H1N1)	06/07/2009	
M2	CY038816	Yes	7	985	H3N2	02/20/2008	IRD:Human	USA	California	07-08	A/California/UR07-0067/2008	03/06/2012	
M2	CY066264	Yes	7	987	H1N1	11/24/2009	IRD:Human	USA	California	09-10	A/California/VRDL111/2009(H1N1)	07/16/2010	
M2	CY066304	Yes	7	987	H1N1	12/04/2009	IRD:Human	USA	California	09-10	A/California/VRDL116/2009(H1N1)	07/16/2010	
M2	CY055464	Yes	7	987	H1N1	06/23/2009	IRD:Human	USA	California	08-09	A/California/VRDL14/2009(H1N1)	03/05/2010	
M2	CY064848	Yes	7	1000	H3N2	04/27/2009	IRD:Human	USA	California	08-09	A/California/VRDL143/2009(H3N2)	07/07/2010	
M2	CY064880	Yes	7	999	H3N2	04/28/2009	IRD:Human	USA	California	08-09	A/California/VRDL147/2009(H3N2)	07/07/2010	
M2	CY068202	Yes	7	999	H3N2	04/28/2009	IRD:Human	USA	California	08-09	A/California/VRDL170/2009(H3N2)	08/09/2010	
