Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	Creation Date	
NS1	CY021713	Yes	8	851	H1N1	1945	IRD:Human	USA	Texas	-N/A-	A/AA/Huston/1945(H1N1)	07/13/2007	
NS1	CY020289	Yes	8	849	H1N1	1943	IRD:Human	USA	Unknown	-N/A-	A/AA/Marton/1943(H1N1)	05/15/2007	
NS1	CY062703	Yes	8	850	H1N1	11/27/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS118/2009(H1N1)	05/14/2010	
NS1	CY066939	Yes	8	850	H1N1	11/19/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS236/2009(H1N1)	11/18/2010	
NS1	CY066971	Yes	8	850	H1N1	11/26/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS241/2009(H1N1)	11/18/2010	
NS1	CY129549	No	8	865	H1N1	01/13/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS614/2011	01/14/2013	
NS1	U65670	No	8	840	H3N2	1994	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/94	03/30/2012	
NS1	U65671	No	8	840	H3N2	1995	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/95	03/28/2012	
NS1	KC781896	Yes	8	863	H1N1	01/04/2010	IRD:Human	USA	Alabama	09-10	A/Alabama/01/2010	04/08/2013	
NS1	CY025385	Yes	8	849	H1N1	02/28/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0455/2007(H1N1)	10/16/2007	
NS1	CY026039	Yes	8	845	H3N2	03/01/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0482/2007(H3N2)	10/16/2007	
NS1	CY025863	Yes	8	848	H3N2	03/07/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0545/2007(H3N2)	10/16/2007	
NS1	CY100848*	Yes	8	845	H1N1	04/01/2009	IRD:Human	USA	Alabama	08-09	A/Alabama/WRAIR1235P/2009(H1N1)	12/14/2011	
NS1	AY210299	No	8	838	H3N2	1969	IRD:Human	USA	Alaska	-N/A-	A/Alaska/1/69(H3N2)	07/27/2006	
NS1	K01332	No	8	890	H3N2	1977	IRD:Human	USA	Alaska	-N/A-	A/Alaska/6/1977	03/28/2012	
NS1	CY069385	Yes	8	844	H1N1	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1114P/2009(H1N1)	08/20/2010	
NS1	CY069465	Yes	8	853	H3N2	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1145P/2009(H3N2)	08/20/2010	
NS1	CY021817	Yes	8	850	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/1/1958(H2N2)	07/13/2007	
NS1	CY022942	Yes	8	858	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/1/1970(H3N2)	09/12/2007	
NS1	CY021945	Yes	8	849	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/1/1976(H3N2)	07/13/2007	
NS1	AY210169	No	8	838	H2N2	1963	IRD:Human	USA	New York	-N/A-	A/Albany/1/63(H2N2)	07/27/2006	
NS1	AY210176	No	8	838	H2N2	1965	IRD:Human	USA	New York	-N/A-	A/Albany/1/65(H2N2)	07/27/2006	
NS1	CY022097	Yes	8	851	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/13/1951(H1N1)	09/12/2007	
NS1	CY022025	Yes	8	851	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/14/1951(H1N1)	07/13/2007	
NS1	CY020225	Yes	8	848	H3N2	1978	IRD:Human	USA	New York	-N/A-	A/Albany/14/1978(H3N2)	05/15/2007	
NS1	CY021833	Yes	8	848	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/15/1976(H3N2)	07/13/2007	
