Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	Creation Date	
PB2	CY021716	Yes	1	2309	H1N1	1945	IRD:Human	USA	Texas	-N/A-	A/AA/Huston/1945(H1N1)	07/13/2007	
PB2	CY020292	Yes	1	2300	H1N1	1943	IRD:Human	USA	Unknown	-N/A-	A/AA/Marton/1943(H1N1)	05/15/2007	
PB2	CY083782*	No	1	2316	H1N1	11/25/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aalborg/INS282/2009	03/03/2011	
PB2	CY073732	Yes	1	2293	H1N1	12/07/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aalborg/INS283/2009(H1N1)	10/14/2010	
PB2	CY062698	Yes	1	2293	H1N1	11/24/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS116/2009(H1N1)	05/14/2010	
PB2	CY062706	Yes	1	2293	H1N1	11/27/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS118/2009(H1N1)	05/14/2010	
PB2	CY066942	Yes	1	2293	H1N1	11/19/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS236/2009(H1N1)	11/18/2010	
PB2	CY066950	Yes	1	2293	H1N1	11/23/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS237/2009(H1N1)	11/18/2010	
PB2	CY067062	Yes	1	2293	H1N1	11/28/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS254/2009(H1N1)	11/18/2010	
PB2	CY129917	Yes	1	2293	H1N1	01/25/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS609/2011	01/14/2013	
PB2	CY056954	Yes	1	2286	H1N1	11/20/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS82/2009(H1N1)	08/09/2010	
PB2	CY071815*	No	1	2280	H1N1	12/01/2009	IRD:Human	Ethiopia	-N/A-	-N/A-	A/Addis Ababa/WR2848N/2009(H1N1)	09/02/2010	
PB2	CY071823*	No	1	2280	H1N1	12/01/2009	IRD:Human	Ethiopia	-N/A-	-N/A-	A/Addis Ababa/WR2848T/2009(H1N1)	09/02/2010	
PB2	CY121124	Yes	1	2316	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	07/09/2012	
PB2	U71132	No	1	2280	H3N2	1994	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/94	03/30/2012	
