Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	Creation Date	
NP	AJ458277	No	5	1565	H3N2	1997	IRD:Human	Slovakia	-N/A-	-N/A-	(A/Bratislava/6/97 (H3N2))	04/17/2012	
NP	AJ458276	No	5	1565	H3N2	1999	IRD:Human	Switzerland	-N/A-	-N/A-	(A/Switzerland/9243/99 (H3N2))	04/25/2012	
NP	CY021712	Yes	5	1534	H1N1	1945	IRD:Human	USA	Texas	-N/A-	A/AA/Huston/1945(H1N1)	07/13/2007	
NP	CY020288	Yes	5	1530	H1N1	1943	IRD:Human	USA	Unknown	-N/A-	A/AA/Marton/1943(H1N1)	05/15/2007	
NP	CY066978	Yes	5	1523	H1N1	11/24/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS242/2009(H1N1)	11/18/2010	
NP	CY121120	Yes	5	1540	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	07/09/2012	
NP	U71144	No	5	1497	H3N2	1994	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/94	03/30/2012	
NP	U71145	No	5	1497	H3N2	1995	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/95	04/16/2012	
NP	CY026038	Yes	5	1520	H3N2	03/01/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0482/2007(H3N2)	10/16/2007	
NP	CY025862	Yes	5	1521	H3N2	03/07/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0545/2007(H3N2)	10/16/2007	
NP	CY100845*	Yes	5	1507	H1N1	04/01/2009	IRD:Human	USA	Alabama	08-09	A/Alabama/WRAIR1235P/2009(H1N1)	12/14/2011	
NP	CY021816	Yes	5	1523	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/1/1958(H2N2)	07/13/2007	
NP	CY020544	Yes	5	1531	H2N2	02/03/1959	IRD:Human	USA	New York	58-59	A/Albany/1/1959(H2N2)	05/15/2007	
NP	CY021936	Yes	5	1522	H2N2	1960	IRD:Human	USA	New York	-N/A-	A/Albany/1/1960(H2N2)	07/13/2007	
NP	CY021024	Yes	5	1523	H2N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/1/1968(H2N2)	05/15/2007	
NP	AY210081	No	5	1497	H2N2	1963	IRD:Human	USA	New York	-N/A-	A/Albany/1/63(H2N2)	07/27/2006	
NP	AY210088	No	5	1497	H2N2	1965	IRD:Human	USA	New York	-N/A-	A/Albany/1/65(H2N2)	07/27/2006	
NP	CY021824	Yes	5	1526	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/12/1951(H1N1)	07/13/2007	
NP	CY022096	Yes	5	1520	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/13/1951(H1N1)	09/12/2007	
NP	CY022024	Yes	5	1528	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/14/1951(H1N1)	07/13/2007	
NP	CY020224	Yes	5	1530	H3N2	1978	IRD:Human	USA	New York	-N/A-	A/Albany/14/1978(H3N2)	05/15/2007	
NP	CY021832	Yes	5	1521	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/15/1976(H3N2)	07/13/2007	
NP	CY021904	Yes	5	1528	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/1618/1951(H1N1)	07/13/2007	
NP	CY021096	Yes	5	1528	H3N2	1974	IRD:Human	USA	New York	-N/A-	A/Albany/20/1974(H3N2)	05/15/2007	
NP	CY020384	Yes	5	1531	H2N2	11/12/1957	IRD:Human	USA	New York	57-58	A/Albany/26/1957(H2N2)	05/15/2007	
NP	CY021072	Yes	5	1527	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/3/1958(H2N2)	05/15/2007	
NP	CY020408	Yes	5	1532	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/3/1967(H2N2)	05/15/2007	
NP	CY019918	Yes	5	1530	H3N2	1969	IRD:Human	USA	New York	-N/A-	A/Albany/3/1969(H3N2)	05/15/2007	
NP	CY021104	Yes	5	1530	H3N2	1977	IRD:Human	USA	New York	-N/A-	A/Albany/4/1977(H3N2)	05/15/2007	
NP	CY019950	Yes	5	1527	H1N1	1948	IRD:Human	USA	New York	-N/A-	A/Albany/4835/1948(H1N1)	05/15/2007	
NP	CY021704	No	5	1526	H1N1	1950	IRD:Human	USA	New York	-N/A-	A/Albany/4836/1950(H1N1)	07/13/2007	
NP	CY021120	Yes	5	1530	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/6/1970(H3N2)	05/15/2007	
NP	AY210070	No	5	1497	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/6/58(H2N2)	07/27/2006	
NP	CY020520	Yes	5	1532	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/9/1967(H2N2)	05/15/2007	
NP	CY098574	Yes	5	1536	H5N1	11/01/2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2005	04/12/2012	
NP	HM172254*	Yes	5	1497	H5N1	2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2005(H5N1)	08/20/2010	
NP	CY098682	No	5	1536	H5N1	03/17/2007	IRD:Human	China	-N/A-	-N/A-	A/Anhui/1/2007	12/14/2011	
NP	CY098579	Yes	5	1516	H5N1	11/11/2005	IRD:Human	China	-N/A-	-N/A-	A/Anhui/2/2005	12/14/2011	
NP	CY073089	Yes	5	1497	H1N1	11/13/2009	IRD:Human	Turkey	-N/A-	-N/A-	A/Ankara/WRAIR1435T/2009	04/12/2012	
NP	CY031582	Yes	5	1523	H2N2	1957	IRD:Human	USA	Michigan	-N/A-	A/Ann Arbor/23/1957(H2N2)	06/18/2008	
NP	M23976	Yes	5	1566	H2N2	1960	IRD:Human	USA	Michigan	-N/A-	A/Ann Arbor/6/1960	04/03/2012	
NP	AY210074	No	5	1497	H2N2	1960	IRD:Human	USA	Michigan	-N/A-	A/Ann Arbor/6/60(H2N2)	07/27/2006	
NP	CY125841	Yes	5	1532	H2N2	1967	IRD:Human	USA	Michigan	-N/A-	A/Ann Arbor/7/1967(H2N2)	10/31/2012	
NP	AY210097	No	5	1497	H2N2	1967	IRD:Human	USA	Michigan	-N/A-	A/AnnArbor/7/67(H2N2)	07/27/2006	
NP	CY047796	No	5	1497	H1N1	06/18/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/7937/2009(H1N1)	03/06/2012	
NP	CY047972	Yes	5	1497	H1N1	06/23/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/9721/2009(H1N1)	03/06/2012	
NP	CY074008*	No	5	1497	H1N1	07/20/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/HNRG15/2009(H1N1)	01/10/2011	
NP	CY074028	No	5	1497	H1N1	06/24/2009	IRD:Human	Argentina	-N/A-	-N/A-	A/Argentina/HNRG33/2009(H1N1)	01/10/2011	
NP	GQ117063	Yes	5	1497	H1N1	04/22/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/01/2009(H1N1)	06/05/2009	
NP	CY019966	Yes	5	1521	H1N1	1978	IRD:Human	USA	Arizona	-N/A-	A/Arizona/14/1978(H1N1)	05/15/2007	
NP	CY069438	Yes	5	1529	H3N2	02/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/WRAIR1142P/2009(H3N2)	08/20/2010	
NP	HM189321	Yes	5	1504	H1N1	11/25/2009	IRD:Human	Russia	-N/A-	09-10	A/Arkhangelsk/CRIE-GNY/2009(H1N1)	06/06/2010	
NP	CY002957	Yes	5	1540	H3N2	10/12/2004	IRD:Human	New Zealand	-N/A-	-N/A-	A/Ashburton/280/2004(H3N2)	07/27/2006	
NP	CY071427*	Yes	5	1497	H1N1	10/28/2009	IRD:Human	Turkmenistan	-N/A-	-N/A-	A/Ashgabat/WR0865N/2009(H1N1)	09/02/2010	
NP	CY063649	Yes	5	1523	H1N1	12/29/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS154/2009(H1N1)	05/20/2010	
NP	CY062870	Yes	5	1523	H1N1	12/18/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS160/2009(H1N1)	05/14/2010	
NP	CY067098	Yes	5	1523	H1N1	12/13/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS262/2009(H1N1)	11/18/2010	
NP	CY072393	Yes	5	1523	H1N1	12/26/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS332/2009(H1N1)	09/02/2010	
NP	CY072457	Yes	5	1523	H1N1	12/17/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS340/2009(H1N1)	09/02/2010	
NP	CY071266	Yes	5	1523	H1N1	01/30/2010	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS411/2010(H1N1)	09/02/2010	
NP	CY129713	Yes	5	1541	H1N1	02/11/2011	IRD:Human	Greece	-N/A-	10-11	A/Athens/INS564/2011	01/14/2013	
NP	CY129721	Yes	5	1523	H1N1	02/25/2011	IRD:Human	Greece	-N/A-	10-11	A/Athens/INS569/2011	01/14/2013	
NP	CY056958	Yes	5	1521	H1N1	12/13/2009	IRD:Human	Greece	-N/A-	09-10	A/Athens/INS85/2009(H1N1)	03/29/2010	
NP	CY112374	Yes	5	1537	Mixed	1982	IRD:Human	Australia	-N/A-	-N/A-	A/Auckland/4382/1982	04/12/2012	
NP	CY022160	Yes	5	1520	H1N1	09/06/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/580/2000(H1N1)	09/12/2007	
NP	CY025037	Yes	5	1524	H1N1	10/30/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/597/2000(H1N1)	01/17/2008	
NP	CY055592	Yes	5	1523	H1N1	07/20/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/15/2009(H1N1)	03/04/2010	
NP	CY055600	Yes	5	1523	H1N1	07/21/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/16/2009(H1N1)	03/04/2010	
NP	CY055656	Yes	5	1523	H1N1	07/22/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/27/2009(H1N1)	03/04/2010	
NP	CY055767	Yes	5	1522	H1N1	07/27/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/47/2009(H1N1)	03/04/2010	
NP	CY055887	Yes	5	1523	H1N1	08/05/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/69/2009(H1N1)	03/05/2010	
NP	CY055935	Yes	5	1523	H1N1	09/02/2009	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/81/2009(H1N1)	03/05/2010	
NP	CY091200	Yes	5	1537	H3N2	07/07/2003	IRD:Human	Australia	-N/A-	-N/A-	A/Australia/NHRC0007/2003(H3N2)	05/30/2011	
