Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	Creation Date	
PA-X protein(+61)	CY021714	Yes	3	2206	H1N1	1945	IRD:Human	USA	Texas	-N/A-	A/AA/Huston/1945(H1N1)	07/13/2007	
PA-X protein(+61)	CY020290	Yes	3	2188	H1N1	1943	IRD:Human	USA	Unknown	-N/A-	A/AA/Marton/1943(H1N1)	05/15/2007	
PA-X protein(+41)	CY083915	Yes	3	2182	H1N1	11/23/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aalborg/INS132/2009(H1N1)	03/03/2011	
PA-X protein(+61)	CY066940	Yes	3	2175	H1N1	11/19/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS236/2009(H1N1)	11/18/2010	
PA-X protein(+41)	CY056952	Yes	3	2163	H1N1	11/20/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS82/2009(H1N1)	08/09/2010	
PA-X protein(+41)	GU138936	Yes	3	2151	H1N1	06/16/2009	IRD:Human	Japan	-N/A-	08-09	A/Aichi/202/2009(H1N1)	11/04/2009	
PA-X protein(+61)	U71136	No	3	2151	H3N2	1994	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/94	03/30/2012	
PA-X protein(+61)	U71137	No	3	2151	H3N2	1995	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/95	03/28/2012	
PA-X protein(+61)	CY025864	Yes	3	2184	H3N2	03/07/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0545/2007(H3N2)	10/16/2007	
PA-X protein(+61)	CY069380	Yes	3	2193	H1N1	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1114P/2009(H1N1)	08/20/2010	
PA-X protein(+61)	CY069460	Yes	3	2195	H3N2	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1145P/2009(H3N2)	08/20/2010	
PA-X protein(+61)	CY069492	Yes	3	2195	H3N2	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1172P/2009(H3N2)	08/20/2010	
PA-X protein(+61)	CY021938	Yes	3	2195	H2N2	1960	IRD:Human	USA	New York	-N/A-	A/Albany/1/1960(H2N2)	07/13/2007	
PA-X protein(+61)	CY022943	Yes	3	2187	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/1/1970(H3N2)	09/12/2007	
PA-X protein(+61)	AY209998	No	3	2151	H2N2	1965	IRD:Human	USA	New York	-N/A-	A/Albany/1/65(H2N2)	07/27/2006	
PA-X protein(+61)	CY019896	Yes	3	2169	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/11/1968(H3N2)	05/15/2007	
PA-X protein(+61)	CY021826	Yes	3	2200	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/12/1951(H1N1)	07/13/2007	
PA-X protein(+61)	CY021834	Yes	3	2170	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/15/1976(H3N2)	07/13/2007	
PA-X protein(+61)	CY021114	Yes	3	2189	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/17/1968(H3N2)	05/15/2007	
PA-X protein(+61)	CY021074	Yes	3	2192	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/3/1958(H2N2)	05/15/2007	
PA-X protein(+61)	CY019920	Yes	3	2189	H3N2	1969	IRD:Human	USA	New York	-N/A-	A/Albany/3/1969(H3N2)	05/15/2007	
PA-X protein(+61)	CY022951	Yes	3	2168	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/3/1970(H3N2)	09/12/2007	
PA-X protein(+61)	CY021106	Yes	3	2168	H3N2	1977	IRD:Human	USA	New York	-N/A-	A/Albany/4/1977(H3N2)	05/15/2007	
PA-X protein(+61)	CY019952	Yes	3	2188	H1N1	1948	IRD:Human	USA	New York	-N/A-	A/Albany/4835/1948(H1N1)	05/15/2007	
