Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	
PB1	CY021715	Yes	2	2283	H1N1	1945	IRD:Human	USA	Texas	-N/A-	A/AA/Huston/1945(H1N1)	
PB1	CY020291	Yes	2	2288	H1N1	1943	IRD:Human	USA	Unknown	-N/A-	A/AA/Marton/1943(H1N1)	
PB1	CY066949	Yes	2	2303	H1N1	11/23/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS237/2009(H1N1)	
PB1	CY066957	Yes	2	2303	H1N1	11/24/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS238/2009(H1N1)	
PB1	CY121123	Yes	2	2316	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	
PB1	GU136026	Yes	2	2274	H1N1	06/16/2009	IRD:Human	Japan	-N/A-	08-09	A/Aichi/202/2009(H1N1)	
PB1	U71128	No	2	2274	H3N2	1994	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/94	
PB1	U71129	No	2	2274	H3N2	1995	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/95	
PB1	CY113963	Yes	2	2314	H3N2	1993	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/4/1993	
PB1	GQ894930	Yes	2	2274	H1N1	04/27/2009	IRD:Human	USA	Alabama	08-09	A/Alabama/02/2009(H1N1)	
PB1	KC781164	Yes	2	2274	H1N1	03/01/2010	IRD:Human	USA	Alabama	09-10	A/Alabama/03/2010	
PB1	CY025387	Yes	2	2305	H1N1	02/28/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0455/2007(H1N1)	
PB1	CY019961	Yes	2	2289	H1N1	1935	IRD:Human	USA	Alaska	-N/A-	A/Alaska/1935(H1N1)	
PB1	KC780110	Yes	2	2274	H1N1	09/11/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/38/2009	
PB1	CY021819	Yes	2	2303	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/1/1958(H2N2)	
PB1	CY020547	Yes	2	2303	H2N2	02/03/1959	IRD:Human	USA	New York	58-59	A/Albany/1/1959(H2N2)	
PB1	CY021939	Yes	2	2308	H2N2	1960	IRD:Human	USA	New York	-N/A-	A/Albany/1/1960(H2N2)	
PB1	CY019905	Yes	2	2297	H3N2	1969	IRD:Human	USA	New York	-N/A-	A/Albany/1/1969(H3N2)	
PB1	CY021947	Yes	2	2301	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/1/1976(H3N2)	
PB1	AY210016	No	2	2274	H2N2	1965	IRD:Human	USA	New York	-N/A-	A/Albany/1/65(H2N2)	
PB1	CY021827	Yes	2	2307	H1N1	1951	IRD:Human	USA	New York	-N/A-	A/Albany/12/1951(H1N1)	
PB1	CY020227	Yes	2	2303	H3N2	1978	IRD:Human	USA	New York	-N/A-	A/Albany/14/1978(H3N2)	
PB1	CY021835	Yes	2	2291	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/15/1976(H3N2)	
PB1	CY021115	Yes	2	2303	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/17/1968(H3N2)	
PB1	CY020531	No	2	2297	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/18/1968(H3N2)	
PB1	CY019913	Yes	2	2297	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/19/1968(H3N2)	
PB1	CY020323	Yes	2	2303	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/2/1958(H2N2)	
PB1	CY020419	Yes	2	2303	H2N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/2/1968(H2N2)	
PB1	CY021099	Yes	2	2303	H3N2	1974	IRD:Human	USA	New York	-N/A-	A/Albany/20/1974(H3N2)	
PB1	CY021795	Yes	2	2301	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/24/1958(H2N2)	
PB1	CY020411	Yes	2	2304	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/3/1967(H2N2)	
