Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Date,Host Species,Country,State/Province,Flu Season,Strain Name
HA,CY092800,Yes,4,1750,(H1),04/28/2009,IRD:Human,USA,California,09-Aug,A/California/VRDL395/2009
HA,CY112369*,Yes,4,1737,(H3),1982,IRD:Human,Australia,-N/A-,-N/A-,A/Auckland/4382/1982
HA,CY112382*,Yes,4,1731,(H3),1984,IRD:Human,France,-N/A-,-N/A-,A/Caen/1/1984
HA,CY104605*,Yes,4,1735,(H3),01/24/2008,IRD:Human,Viet Nam,-N/A-,-N/A-,A/KhanhHoa/KH37/2008
HA,CY084429,Yes,4,1717,(H3),05/05/2009,IRD:Human,USA,New York,09-Aug,A/New York/3305/2009
HA,CY118139,No,4,1744,(null),04/08/2008,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/1978169/2008
HA,CY118229,Yes,4,1734,(null),08/23/2009,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/2124650/2009
HA,CY118241,Yes,4,1742,(null),09/07/2009,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/2156787/2009
HA,CY117819*,Yes,4,1731,(null),06/05/2002,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/22387/2002
HA,CY117840*,Yes,4,1745,(null),10/14/2002,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/23329/2002
HA,CY117856*,Yes,4,1735,(null),10/21/2002,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/23378/2002
HA,CY117871*,Yes,4,1732,(null),11/13/2002,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/23582/2002
HA,CY117870*,Yes,4,1744,(null),11/13/2002,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/23582/2002
HA,CY117885*,Yes,4,1731,(null),11/20/2002,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/23637/2002
HA,CY117900*,Yes,4,1732,(null),12/02/2002,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/23721/2002
HA,CY117926*,Yes,4,1734,(null),01/09/2003,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/23995/2003
HA,CY117960*,Yes,4,1731,(null),09/16/2003,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/25804/2003
HA,CY117971,Yes,4,1731,(null),09/25/2003,IRD:Human,Malaysia,-N/A-,-N/A-,A/Malaysia/25890/2003
HA,U38242,No,4,1746,H1,1967,IRD:Human,Japan,-N/A-,-N/A-,A/Tokyo/3/1967
HA,CY128039,No,4,1724,H1,09/09/2009,IRD:Human,Viet Nam,-N/A-,-N/A-,A/Viet Nam/13032042/2009
HA,J02176,Yes,4,1775,H1N1,1933,IRD:Human,United Kingdom,-N/A-,-N/A-,(A/WSN/33)
HA,CY021709,Yes,4,1751,H1N1,1945,IRD:Human,USA,Texas,-N/A-,A/AA/Huston/1945(H1N1)
HA,CY020285,Yes,4,1741,H1N1,1943,IRD:Human,USA,Unknown,-N/A-,A/AA/Marton/1943(H1N1)
HA,CY063606,Yes,4,1734,H1N1,12/02/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS133/2009(H1N1)
HA,CY073725,Yes,4,1734,H1N1,12/07/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aalborg/INS283/2009(H1N1)
HA,CY062691,Yes,4,1734,H1N1,11/24/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS116/2009(H1N1)
HA,CY062699,Yes,4,1734,H1N1,11/27/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS118/2009(H1N1)
HA,CY066959,Yes,4,1734,H1N1,11/26/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS240/2009(H1N1)
HA,CY066967,Yes,4,1734,H1N1,11/26/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS241/2009(H1N1)
HA,CY067047,Yes,4,1734,H1N1,11/22/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS253/2009(H1N1)
HA,CY067055,Yes,4,1734,H1N1,11/28/2009,IRD:Human,Denmark,-N/A-,10-Sep,A/Aarhus/INS254/2009(H1N1)
HA,CY129926,Yes,4,1734,H1N1,01/19/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS612/2011
HA,CY129934,Yes,4,1752,H1N1,01/20/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS613/2011
HA,CY129942,Yes,4,1752,H1N1,02/04/2011,IRD:Human,Denmark,-N/A-,11-Oct,A/Aarhus/INS615/2011
HA,GU367315,No,4,1752,H1N1,2009,IRD:Human,Russia,-N/A-,-N/A-,A/Abakan/02/2009(H1N1)
HA,CY071818*,No,4,1695,H1N1,12/01/2009,IRD:Human,Ethiopia,-N/A-,-N/A-,A/Addis Ababa/WR2848N/2009(H1N1)
HA,CY062387,No,4,1701,H1N1,08/2009,IRD:Human,Afghanistan,-N/A-,-N/A-,A/Afghanistan/N09840/2009(H1N1)
HA,CY062389,No,4,1701,H1N1,09/2009,IRD:Human,Afghanistan,-N/A-,-N/A-,A/Afghanistan/N10725/2009(H1N1)
HA,CY062392,No,4,1701,H1N1,09/2009,IRD:Human,Afghanistan,-N/A-,-N/A-,A/Afghanistan/N10736/2009(H1N1)
HA,CY062406,No,4,1701,H1N1,10/16/2009,IRD:Human,Afghanistan,-N/A-,-N/A-,A/Afghanistan/N11216/2009(H1N1)
HA,GU014772,No,4,1701,H1N1,06/15/2009,IRD:Human,Japan,-N/A-,09-Aug,A/Aichi/198/2009(H1N1)
HA,GQ894929,Yes,4,1701,H1N1,04/27/2009,IRD:Human,USA,Alabama,09-Aug,A/Alabama/02/2009(H1N1)
HA,CY025381,Yes,4,1741,H1N1,02/28/2007,IRD:Human,USA,Alabama,07-Jun,A/Alabama/UR06-0455/2007(H1N1)
HA,CY100844,Yes,4,1730,H1N1,04/01/2009,IRD:Human,USA,Alabama,09-Aug,A/Alabama/WRAIR1235P/2009
HA,CY072075,No,4,1701,H1N1,03/10/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/119/2010(H1N1)
HA,CY072077,No,4,1701,H1N1,03/13/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/143/2010(H1N1)
HA,CY072079,No,4,1701,H1N1,03/24/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/171/2010(H1N1)
HA,CY072080,No,4,1701,H1N1,03/26/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/201/2010(H1N1)
HA,CY072082,No,4,1701,H1N1,03/02/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/96/2010(H1N1)
HA,GQ476139,No,4,1698,H1N1,01/29/2009,IRD:Human,USA,Alaska,09-Aug,A/Alaska/01/2009(H1N1)
HA,EU716540,No,4,1727,H1N1,01/16/2008,IRD:Human,USA,Alaska,08-Jul,A/Alaska/02/2008
HA,GQ476017,No,4,1698,H1N1,03/10/2009,IRD:Human,USA,Alaska,09-Aug,A/Alaska/02/2009(H1N1)
HA,EU716555,No,4,1727,H1N1,01/18/2008,IRD:Human,USA,Alaska,08-Jul,A/Alaska/03/2008
HA,GQ476055,No,4,1698,H1N1,03/20/2009,IRD:Human,USA,Alaska,09-Aug,A/Alaska/03/2009(H1N1)
HA,GQ377035,No,4,1701,H1N1,05/2009,IRD:Human,USA,Alaska,09-Aug,A/Alaska/04/2009(H1N1)
HA,FJ687001,No,4,1698,H1N1,12/10/2008,IRD:Human,USA,Alaska,09-Aug,A/Alaska/05/2008(H1N1)
HA,EU516254,No,4,1698,H1N1,12/03/2007,IRD:Human,USA,Alaska,08-Jul,A/Alaska/11/2007(H1N1)
HA,EU516256,No,4,1698,H1N1,12/04/2007,IRD:Human,USA,Alaska,08-Jul,A/Alaska/13/2007(H1N1)
HA,CY019955,Yes,4,1714,H1N1,1935,IRD:Human,USA,Alaska,-N/A-,A/Alaska/1935(H1N1)
HA,CY069381,Yes,4,1729,H1N1,03/2009,IRD:Human,USA,Alaska,09-Aug,A/Alaska/WRAIR1114P/2009
HA,CY021821,Yes,4,1747,H1N1,1951,IRD:Human,USA,New York,-N/A-,A/Albany/12/1951(H1N1)
HA,CY022021,Yes,4,1747,H1N1,1951,IRD:Human,USA,New York,-N/A-,A/Albany/14/1951(H1N1)
HA,CY021901,Yes,4,1747,H1N1,1951,IRD:Human,USA,New York,-N/A-,A/Albany/1618/1951(H1N1)
HA,CY021797,Yes,4,1747,H1N1,1978,IRD:Human,USA,New York,-N/A-,A/Albany/20/1978(H1N1)
HA,CY019947,Yes,4,1733,H1N1,1948,IRD:Human,USA,New York,-N/A-,A/Albany/4835/1948(H1N1)
HA,CY021701,No,4,1734,H1N1,1950,IRD:Human,USA,New York,-N/A-,A/Albany/4836/1950(H1N1)
HA,CY026411,Yes,4,1731,H1N1,1979,IRD:Human,USA,New York,-N/A-,A/Albany/8/1979(H1N1)
HA,S62154,No,4,1778,H1N1,1984,IRD:Human,Kazakhstan,-N/A-,-N/A-,A/Alma Ata/1417/84(H1N1)
HA,GQ219574,Yes,4,1701,H1N1,2009,IRD:Human,Japan,-N/A-,-N/A-,A/Amagasaki/1/2009(H1N1)
HA,CY071386,Yes,4,1701,H1N1,10/15/2009,IRD:Human,Jordan,-N/A-,-N/A-,A/Amman/WR0060N/2009(H1N1)
HA,CY071554,No,4,1701,H1N1,10/18/2009,IRD:Human,Jordan,-N/A-,-N/A-,A/Amman/WR1324N/2009(H1N1)
HA,CY073041,Yes,4,1701,H1N1,10/18/2009,IRD:Human,Jordan,-N/A-,-N/A-,A/Amman/WRAIR1339N/2009(H1N1)
HA,CY097948,Yes,4,1701,H1N1,12/23/2010,IRD:Human,Jordan,-N/A-,-N/A-,A/Amman/WRAIR3448N/2010
HA,GQ421199,No,4,1701,H1N1,06/08/2009,IRD:Human,Italy,-N/A-,09-Aug,A/Ancona/01/2009(H1N1)
HA,GQ421200,No,4,1701,H1N1,06/11/2009,IRD:Human,Italy,-N/A-,09-Aug,A/Ancona/02/2009(H1N1)
HA,GQ421201,No,4,1701,H1N1,07/01/2009,IRD:Human,Italy,-N/A-,09-Aug,A/Ancona/04/2009(H1N1)
HA,GQ421203,No,4,1701,H1N1,07/12/2009,IRD:Human,Italy,-N/A-,09-Aug,A/Ancona/05/2009(H1N1)
HA,GU576501,No,4,1701,H1N1,07/16/2009,IRD:Human,Italy,-N/A-,09-Aug,A/Ancona/11/2009(H1N1)
HA,GU576502,No,4,1701,H1N1,07/17/2009,IRD:Human,Italy,-N/A-,09-Aug,A/Ancona/15/2009(H1N1)
