Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Date	Host Species	Country	State/Province	Flu Season	Strain Name	Creation Date	
PA	CY021714	Yes	3	2206	H1N1	1945	IRD:Human	USA	Texas	-N/A-	A/AA/Huston/1945(H1N1)	07/13/2007	
PA	CY020290	Yes	3	2188	H1N1	1943	IRD:Human	USA	Unknown	-N/A-	A/AA/Marton/1943(H1N1)	05/15/2007	
PA	CY083915	Yes	3	2182	H1N1	11/23/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aalborg/INS132/2009(H1N1)	03/03/2011	
PA	CY062696	Yes	3	2175	H1N1	11/24/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS116/2009(H1N1)	05/14/2010	
PA	CY066940	Yes	3	2175	H1N1	11/19/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS236/2009(H1N1)	11/18/2010	
PA	CY066948	Yes	3	2175	H1N1	11/23/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS237/2009(H1N1)	11/18/2010	
PA	CY066956	Yes	3	2175	H1N1	11/24/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS238/2009(H1N1)	11/18/2010	
PA	CY066964	Yes	3	2175	H1N1	11/26/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS240/2009(H1N1)	11/18/2010	
PA	CY066972	Yes	3	2175	H1N1	11/26/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS241/2009(H1N1)	11/18/2010	
PA	CY067060	Yes	3	2175	H1N1	11/28/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS254/2009(H1N1)	11/18/2010	
PA	CY129947	Yes	3	2176	H1N1	02/04/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS615/2011	01/14/2013	
PA	GU138935	No	3	2151	H1N1	06/15/2009	IRD:Human	Japan	-N/A-	08-09	A/Aichi/198/2009(H1N1)	11/04/2009	
PA	U71136	No	3	2151	H3N2	1994	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/94	03/30/2012	
PA	U71137	No	3	2151	H3N2	1995	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/1/95	03/28/2012	
PA	GQ200230	Yes	3	2151	H1N1	04/27/2009	IRD:Human	USA	Alabama	08-09	A/Alabama/02/2009(H1N1)	05/26/2009	
PA	CY025386	Yes	3	2199	H1N1	02/28/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0455/2007(H1N1)	10/16/2007	
PA	CY026040	Yes	3	2187	H3N2	03/01/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0482/2007(H3N2)	10/16/2007	
PA	CY025864	Yes	3	2184	H3N2	03/07/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0545/2007(H3N2)	10/16/2007	
PA	CY069380	Yes	3	2193	H1N1	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1114P/2009(H1N1)	08/20/2010	
PA	CY069460	Yes	3	2195	H3N2	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1145P/2009(H3N2)	08/20/2010	
PA	CY069492	Yes	3	2195	H3N2	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1172P/2009(H3N2)	08/20/2010	
PA	CY021818	Yes	3	2192	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/1/1958(H2N2)	07/13/2007	
PA	CY020546	Yes	3	2187	H2N2	02/03/1959	IRD:Human	USA	New York	58-59	A/Albany/1/1959(H2N2)	05/15/2007	
PA	CY021938	Yes	3	2195	H2N2	1960	IRD:Human	USA	New York	-N/A-	A/Albany/1/1960(H2N2)	07/13/2007	
PA	CY021026	Yes	3	2192	H2N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/1/1968(H2N2)	05/15/2007	
PA	CY022943	Yes	3	2187	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/1/1970(H3N2)	09/12/2007	
PA	AY209998	No	3	2151	H2N2	1965	IRD:Human	USA	New York	-N/A-	A/Albany/1/65(H2N2)	07/27/2006	
PA	CY021850	Yes	3	2189	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/10/1968(H3N2)	07/13/2007	
PA	CY019896	Yes	3	2169	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/11/1968(H3N2)	05/15/2007	
PA	CY020226	Yes	3	2193	H3N2	1978	IRD:Human	USA	New York	-N/A-	A/Albany/14/1978(H3N2)	05/15/2007	
PA	CY021834	Yes	3	2170	H3N2	1976	IRD:Human	USA	New York	-N/A-	A/Albany/15/1976(H3N2)	07/13/2007	
PA	CY021114	Yes	3	2189	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/17/1968(H3N2)	05/15/2007	
PA	CY020322	Yes	3	2192	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/2/1958(H2N2)	05/15/2007	
PA	CY021098	Yes	3	2176	H3N2	1974	IRD:Human	USA	New York	-N/A-	A/Albany/20/1974(H3N2)	05/15/2007	
PA	CY021794	Yes	3	2197	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/24/1958(H2N2)	07/13/2007	
PA	CY021074	Yes	3	2192	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/3/1958(H2N2)	05/15/2007	
PA	CY020410	Yes	3	2192	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/3/1967(H2N2)	05/15/2007	
PA	CY019920	Yes	3	2189	H3N2	1969	IRD:Human	USA	New York	-N/A-	A/Albany/3/1969(H3N2)	05/15/2007	
PA	CY022951	Yes	3	2168	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/3/1970(H3N2)	09/12/2007	
PA	CY020378	Yes	3	2192	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/4/1958(H2N2)	05/15/2007	
PA	CY021106	Yes	3	2168	H3N2	1977	IRD:Human	USA	New York	-N/A-	A/Albany/4/1977(H3N2)	05/15/2007	
PA	CY022090	Yes	3	2189	H3N2	1968	IRD:Human	USA	New York	-N/A-	A/Albany/6/1968(H3N2)	09/12/2007	
PA	CY021122	Yes	3	2183	H3N2	1970	IRD:Human	USA	New York	-N/A-	A/Albany/6/1970(H3N2)	05/15/2007	
PA	AY209992	No	3	2151	H2N2	1958	IRD:Human	USA	New York	-N/A-	A/Albany/6/58(H2N2)	07/27/2006	
PA	CY026416	Yes	3	2188	H1N1	1979	IRD:Human	USA	New York	-N/A-	A/Albany/8/1979(H1N1)	01/18/2008	
PA	CY020522	Yes	3	2192	H2N2	1967	IRD:Human	USA	New York	-N/A-	A/Albany/9/1967(H2N2)	05/15/2007	
PA	CY071385	Yes	3	2151	H1N1	10/15/2009	IRD:Human	Jordan	-N/A-	-N/A-	A/Amman/WR0060N/2009(H1N1)	09/02/2010	
